TweetsAgo,Target,User,Date,Positive,Neutral,Negative,Compound,Text
100,BBCWorld,BBC News (World),2017-11-30 15:48:50+00:00,0.0,1.0,0.0,0.0,RT @BBCBreaking: White House discussing plan to replace Secretary of State Rex Tillerson with CIA chief Mike Pompeo - US media https://t.co…
99,BBCWorld,BBC News (World),2017-11-30 15:50:49+00:00,0.0,1.0,0.0,0.0,RT @BBCBusiness: Are you watching the Bitcoin drama? https://t.co/L8vL87GT5W https://t.co/WWVVRmWCEM
98,BBCWorld,BBC News (World),2017-11-30 15:53:00+00:00,0.0,1.0,0.0,0.0,White House 'has plan to replace Tillerson' https://t.co/LNmG4HWxuR
97,BBCWorld,BBC News (World),2017-11-30 16:00:41+00:00,0.0,1.0,0.0,0.0,Ikea in Italy row over sacked Milan single mum https://t.co/ebr7yAXLmS
96,BBCWorld,BBC News (World),2017-11-30 16:12:23+00:00,0.0,1.0,0.0,0.0,Iceland's Left-Green leader Jakobsdóttir becomes new PM https://t.co/OOsXmEAFmq
95,BBCWorld,BBC News (World),2017-11-30 16:12:23+00:00,0.0,1.0,0.0,0.0,Theresa May: Trump was 'wrong' to retweet far-right posts https://t.co/j7toCKASKm
94,BBCWorld,BBC News (World),2017-11-30 16:41:29+00:00,0.131,0.584,0.285,-0.4767,Syria war: UN seeks urgent Eastern Ghouta medical evacuations https://t.co/xYuWuSkxJs
93,BBCWorld,BBC News (World),2017-11-30 17:03:43+00:00,0.0,1.0,0.0,0.0,Hague headache https://t.co/7K3MRrE5LQ
92,BBCWorld,BBC News (World),2017-11-30 17:04:20+00:00,0.0,1.0,0.0,0.0,"RT @BBCNews: Don't @ me: Theresa May says Trump retweets were ""wrong""

https://t.co/QLJt6VwjYq https://t.co/npuVIAcaSB"
91,BBCWorld,BBC News (World),2017-11-30 17:12:07+00:00,0.0,0.48,0.52,-0.7579,Kim Jong-nam killing: Regime critic carried 'antidote' https://t.co/3275AFTqIs
90,BBCWorld,BBC News (World),2017-11-30 17:52:49+00:00,0.0,0.759,0.241,-0.8074,RT @BowenBBC: This was my take on the reasons why the Bosnian Croat war criminal Slobodan Praljak ended up at #ICTY in The Hague.   https:/…
89,BBCWorld,BBC News (World),2017-11-30 18:03:06+00:00,0.0,1.0,0.0,0.0,It's one way to beat the rat race 🚗🚗🚌🚗 https://t.co/pUEdpZrqf1
88,BBCWorld,BBC News (World),2017-11-30 18:07:56+00:00,0.0,0.806,0.194,-0.34,US soldier accuses Al Franken of groping her in Kuwait https://t.co/CBGGglvHj8
87,BBCWorld,BBC News (World),2017-11-30 18:40:06+00:00,0.0,1.0,0.0,0.0,What Ed Sheeran really needs to know about New Zealand https://t.co/mP2oxUSooh
86,BBCWorld,BBC News (World),2017-11-30 19:17:37+00:00,0.0,1.0,0.0,0.0,"Thunderbolts and lightning, @Space_Station style 🚀🌏 https://t.co/NcFuTtZ9mx"
85,BBCWorld,BBC News (World),2017-11-30 19:30:08+00:00,0.0,0.857,0.143,-0.25,RT @BBCPolitics: Should @realDonaldTrump's planned state visit to the UK be cancelled? https://t.co/l0lY5uEh5R
84,BBCWorld,BBC News (World),2017-11-30 19:57:06+00:00,0.078,0.719,0.203,-0.4404,RT @BBCNews: 'Wrong Theresa May' demands apology for Donald Trump mis-tweet https://t.co/IFBoUD5mcU https://t.co/EoK0ZWi1sA
83,BBCWorld,BBC News (World),2017-11-30 20:43:07+00:00,0.0,1.0,0.0,0.0,"White House spokeswoman: ""I don't believe"" Trump knew who Britain First deputy leader Jayda Fransen was when he ret… https://t.co/Ohag5oXIg8"
82,BBCWorld,BBC News (World),2017-11-30 20:49:10+00:00,0.0,1.0,0.0,0.0,"Rex Tillerson - the under-fire diplomat
https://t.co/eZqN3yVwp7"
81,BBCWorld,BBC News (World),2017-11-30 20:57:07+00:00,0.178,0.822,0.0,0.3818,"Stunning aerial photos capture New York and Los Angeles from above

https://t.co/5IPgGhdCU7 https://t.co/M53HF4zKt1"
80,BBCWorld,BBC News (World),2017-11-30 21:43:45+00:00,0.0,0.714,0.286,-0.4939,Canada calls inquest for 2012 Radiohead stage collapse https://t.co/wfVbyxqAbS
79,BBCWorld,BBC News (World),2017-11-30 21:47:25+00:00,0.0,1.0,0.0,0.0,Trump's 'filter bubble' https://t.co/dTxnq1V9Vw
78,BBCWorld,BBC News (World),2017-11-30 21:54:58+00:00,0.314,0.476,0.21,0.2732,Argentina ends missing sub 'rescue mission' https://t.co/GCY2vo9hSO
77,BBCWorld,BBC News (World),2017-11-30 22:17:56+00:00,0.216,0.784,0.0,0.5106,RT @DaveLeeBBC: Alexa goes to work. Will her colleagues trust her eavesdropping? https://t.co/6Maz8wJe44
76,BBCWorld,BBC News (World),2017-11-30 22:53:55+00:00,0.0,1.0,0.0,0.0,Rex Tillerson: White House dismisses reports of replacement https://t.co/P13lHuIcq4
75,BBCWorld,BBC News (World),2017-11-30 23:27:33+00:00,0.0,1.0,0.0,0.0,Nasa footage shows lightning from ISS https://t.co/fQB0LEZMiL
74,BBCWorld,BBC News (World),2017-11-30 23:31:11+00:00,0.0,1.0,0.0,0.0,Commuter in China paints own road signs https://t.co/z6PjtoAGx1
73,BBCWorld,BBC News (World),2017-11-30 23:31:11+00:00,0.0,1.0,0.0,0.0,Should Donald Trump get UK state visit? https://t.co/I2BLJTXTWS
72,BBCWorld,BBC News (World),2017-11-30 23:31:12+00:00,0.0,0.585,0.415,-0.7964,Nikki Haley: North Korea would be destroyed in war with US https://t.co/s23uQjXsCR
71,BBCWorld,BBC News (World),2017-11-30 23:31:15+00:00,0.0,1.0,0.0,0.0,Jeremy Bowen: 'Why I testified against Praljak' https://t.co/WqQODuoqZp
70,BBCWorld,BBC News (World),2017-12-01 00:21:19+00:00,0.0,1.0,0.0,0.0,Reza Zarrab case: Gold trader implicates Turkish president Erdogan https://t.co/U7wBfEXcl5
69,BBCWorld,BBC News (World),2017-12-01 01:18:49+00:00,0.248,0.752,0.0,0.5106,Why have Belgian drivers been given free chips this week? https://t.co/KmWq8OxDmy
68,BBCWorld,BBC News (World),2017-12-01 01:22:46+00:00,0.0,1.0,0.0,0.0,Mass evictions as Beijing is spruced up https://t.co/juvfMej3zn
67,BBCWorld,BBC News (World),2017-12-01 02:21:12+00:00,0.0,0.625,0.375,-0.34,Officer accidentally Tasers partner https://t.co/RYgciIsQ3z
66,BBCWorld,BBC News (World),2017-12-01 02:54:13+00:00,0.0,1.0,0.0,0.0,Tesla mega-battery in Australia activated https://t.co/cHfQnrGxol
65,BBCWorld,BBC News (World),2017-12-01 02:54:16+00:00,0.136,0.544,0.32,-0.5719,Kate Steinle shooting: Mexican Garcia Zarate acquitted of murder https://t.co/Q1P06LQ5z3
64,BBCWorld,BBC News (World),2017-12-01 03:31:01+00:00,0.0,0.672,0.328,-0.5994,Honduras election: Violent clashes ahead of final result https://t.co/7R5dqxiFKO
63,BBCWorld,BBC News (World),2017-12-01 03:31:01+00:00,0.0,1.0,0.0,0.0,Japan's Emperor Akihito to abdicate in April 2019 https://t.co/S4GxIlRf2A
62,BBCWorld,BBC News (World),2017-12-01 04:36:24+00:00,0.0,1.0,0.0,0.0,How the drinking straw became a million dollar idea https://t.co/8HV1C2ODnz
61,BBCWorld,BBC News (World),2017-12-01 04:43:50+00:00,0.0,1.0,0.0,0.0,Spectrum of opinion https://t.co/KVGGimh2N8
60,BBCWorld,BBC News (World),2017-12-01 04:43:50+00:00,0.0,0.484,0.516,-0.4939,Sandals and scandals https://t.co/GdZzffKcG9
59,BBCWorld,BBC News (World),2017-12-01 04:46:53+00:00,0.0,1.0,0.0,0.0,Holocaust notebook https://t.co/pfcszFyUzT
58,BBCWorld,BBC News (World),2017-12-01 05:14:21+00:00,0.0,1.0,0.0,0.0,Zimbabwe's Mnangagwa gives key cabinet jobs to military figures https://t.co/0tv9QVPWdM
57,BBCWorld,BBC News (World),2017-12-01 05:20:55+00:00,0.0,0.744,0.256,-0.4767,Pakistan attack: 'Heavy gunfire' heard at Peshawar training centre https://t.co/PKHX1sYMoZ
56,BBCWorld,BBC News (World),2017-12-01 05:47:39+00:00,0.0,1.0,0.0,0.0,Russell Simmons: Music mogul steps down after sex allegation https://t.co/BNwoikycAB
55,BBCWorld,BBC News (World),2017-12-01 06:49:20+00:00,0.184,0.589,0.227,-0.1321,Australia bank error recipient will not be prosecuted https://t.co/Aat7E3fot3
54,BBCWorld,BBC News (World),2017-12-01 06:56:05+00:00,0.0,1.0,0.0,0.0,Germany coalition: Merkel and SPD to hold more talks to end impasse https://t.co/ZM4ZgEg5vO
53,BBCWorld,BBC News (World),2017-12-01 07:21:27+00:00,0.163,0.837,0.0,0.5106,"RT @BBCMonitoring: Russian TV is excitedly awaiting today's #WorldCupDraw in Moscow, hosted by Maria Komandnaya and @GaryLineker. President…"
52,BBCWorld,BBC News (World),2017-12-01 07:46:52+00:00,0.0,1.0,0.0,0.0,Zimbabwe's Mnangagwa gives key cabinet jobs to military figures https://t.co/Q5nxOLKscZ
51,BBCWorld,BBC News (World),2017-12-01 08:18:12+00:00,0.239,0.761,0.0,0.296,'Zero tolerance' plan eyed for plastic pollution https://t.co/FyXTrsXqkv
50,BBCWorld,BBC News (World),2017-12-01 08:20:06+00:00,0.314,0.476,0.21,0.2732,"Argentina ends missing submarine rescue mission 
https://t.co/HgZYBZYa7l"
49,BBCWorld,BBC News (World),2017-12-01 08:30:10+00:00,0.0,0.706,0.294,-0.7845,"RT @bbcdavideades: #bbcBizLive No glittery Xmas here yet...but with warnings that glitter is bad for our environment, should we go out and…"
48,BBCWorld,BBC News (World),2017-12-01 08:39:03+00:00,0.0,1.0,0.0,0.0,"RT @BBCSteveR: One Russian paper today says ""the World Cup is over budget"" &amp; that ""one stadium might not be completed"". The World Cup draw…"
47,BBCWorld,BBC News (World),2017-12-01 08:45:57+00:00,0.0,0.693,0.307,-0.4767,India bus passenger arrested over smelly socks https://t.co/oKeqtxZoar
